date,series_id,target,price_feature,competitor_price_feature,discount,holiday_promo,seasonality,demand_forecast,units_ordered
2022-01-02,S001_P0001,116,27.95,30.89,10,0,,92.94,104
2022-01-03,S001_P0001,154,62.7,58.22,20,0,,5.36,189
2022-01-04,S001_P0001,85,77.88,75.99,15,1,,52.87,193
2022-01-05,S001_P0001,238,28.46,29.4,20,1,,150.27,37
2022-01-06,S001_P0001,198,91.05,87.3,5,0,,39.09,155
2022-01-07,S001_P0001,195,53.99,58.8,10,1,,117.92,106
2022-01-08,S001_P0001,231,66.3,63.82,20,1,,0.84,119
2022-01-09,S001_P0001,373,41.72,38.68,0,1,,352.24,178
2022-01-10,S001_P0001,327,32.68,34.71,5,1,,39.5,132
2022-01-11,S001_P0001,101,27.53,27.08,5,1,,16.11,193
2022-01-12,S001_P0001,145,92.92,97.59,0,0,,100.32,189
2022-01-13,S001_P0001,110,17.27,21.79,15,1,,78.64,190
2022-01-14,S001_P0001,199,90.05,87.05,20,0,,193.23,44
2022-01-15,S001_P0001,290,98.04,98.2,10,1,,170.06,94
2022-01-16,S001_P0001,104,11.39,7.96,15,0,,114.65,189
2022-01-17,S001_P0001,134,95.27,92.6,0,1,,73.59,95
2022-01-18,S001_P0001,339,90.7,86.51,15,0,,134.0,157
2022-01-19,S001_P0001,431,97.97,95.06,10,0,,228.92,139
2022-01-20,S001_P0001,154,10.38,11.46,0,0,,90.49,113
2022-01-21,S001_P0001,430,13.1,15.14,15,1,,401.1,195
2022-01-22,S001_P0001,450,87.64,91.45,0,1,,181.42,197
2022-01-23,S001_P0001,118,22.65,25.19,15,0,,69.99,155
2022-01-24,S001_P0001,115,76.71,75.85,15,1,,17.87,132
2022-01-25,S001_P0001,348,18.35,22.01,15,1,,185.83,122
2022-01-26,S001_P0001,200,59.48,55.45,5,1,,50.62,101
2022-01-27,S001_P0001,410,93.34,94.33,0,0,,180.45,116
2022-01-28,S001_P0001,158,53.25,49.95,20,1,,115.96,82
2022-01-29,S001_P0001,154,88.06,92.84,15,1,,48.79,124
2022-01-30,S001_P0001,498,68.76,73.29,10,0,,148.26,63
2022-01-31,S001_P0001,410,70.78,68.88,0,1,,212.24,152
2022-02-01,S001_P0001,419,34.49,33.85,0,0,,297.26,84
2022-02-02,S001_P0001,415,52.49,48.25,5,0,,53.13,149
2022-02-03,S001_P0001,345,27.71,28.96,20,1,,84.02,186
2022-02-04,S001_P0001,121,16.84,12.53,15,0,,37.72,25
2022-02-05,S001_P0001,458,51.44,51.54,15,0,,362.43,182
2022-02-06,S001_P0001,167,68.85,71.82,5,1,,81.06,92
2022-02-07,S001_P0001,244,11.34,9.63,5,0,,73.41,105
2022-02-08,S001_P0001,140,67.64,69.12,10,0,,15.6,48
2022-02-09,S001_P0001,209,90.55,90.2,0,0,,22.37,143
2022-02-10,S001_P0001,311,89.58,91.4,5,0,,229.08,102
2022-02-11,S001_P0001,216,19.93,24.88,0,0,,198.49,34
2022-02-12,S001_P0001,358,64.4,61.19,15,1,,48.16,54
2022-02-13,S001_P0001,229,85.19,85.28,10,0,,143.55,161
2022-02-14,S001_P0001,429,97.41,93.97,10,1,,256.33,156
2022-02-15,S001_P0001,126,51.27,53.8,5,0,,115.57,32
2022-02-16,S001_P0001,373,65.22,66.25,10,1,,372.09,91
2022-02-17,S001_P0001,82,49.34,51.94,5,1,,27.62,146
2022-02-18,S001_P0001,115,20.21,18.45,15,0,,39.79,33
2022-02-19,S001_P0001,207,75.6,71.3,0,1,,32.44,200
2022-02-20,S001_P0001,284,73.76,70.18,10,0,,175.44,189
2022-02-21,S001_P0001,337,96.55,100.1,10,0,,346.41,136
2022-02-22,S001_P0001,467,12.81,12.47,15,1,,194.7,135
2022-02-23,S001_P0001,152,27.67,31.03,15,0,,134.64,88
2022-02-24,S001_P0001,277,25.72,29.31,10,1,,169.54,108
2022-02-25,S001_P0001,399,10.85,14.28,20,1,,220.68,188
2022-02-26,S001_P0001,167,52.53,54.21,10,0,,113.33,55
2022-02-27,S001_P0001,129,34.84,38.22,10,1,,81.82,165
2022-02-28,S001_P0001,361,89.39,86.89,10,1,,338.3,103
2022-03-01,S001_P0001,263,15.95,13.91,5,0,,33.68,113
2022-03-02,S001_P0001,216,58.52,58.92,15,1,,105.56,120
2022-03-03,S001_P0001,304,14.01,12.87,0,1,,31.54,44
2022-03-04,S001_P0001,338,33.06,34.47,15,0,,274.86,43
2022-03-05,S001_P0001,496,27.67,28.65,10,0,,274.26,167
2022-03-06,S001_P0001,463,62.37,64.64,10,1,,203.71,54
2022-03-07,S001_P0001,380,98.99,97.93,5,0,,360.31,80
2022-03-08,S001_P0001,394,95.9,98.49,20,1,,36.33,88
2022-03-09,S001_P0001,339,24.92,24.38,15,0,,29.44,165
2022-03-10,S001_P0001,285,24.69,20.0,10,1,,161.02,184
2022-03-11,S001_P0001,348,46.7,50.28,10,1,,155.99,188
2022-03-12,S001_P0001,210,91.91,90.84,5,1,,196.14,144
2022-03-13,S001_P0001,327,87.0,91.43,15,0,,101.11,141
2022-03-14,S001_P0001,84,59.11,58.7,10,0,,80.12,168
2022-03-15,S001_P0001,172,69.17,70.1,20,0,,78.64,187
2022-03-16,S001_P0001,252,37.52,36.49,5,0,,243.54,126
2022-03-17,S001_P0001,124,30.81,30.91,15,1,,102.55,86
2022-03-18,S001_P0001,282,47.2,43.88,15,0,,142.21,41
2022-03-19,S001_P0001,388,17.8,20.76,20,0,,285.57,28
2022-03-20,S001_P0001,83,33.07,29.26,15,1,,47.68,68
2022-03-21,S001_P0001,100,75.75,77.25,15,1,,73.92,160
2022-03-22,S001_P0001,163,69.56,67.3,5,1,,121.45,83
2022-03-23,S001_P0001,82,86.7,87.39,0,1,,15.89,124
2022-03-24,S001_P0001,279,12.46,15.25,5,0,,42.16,84
2022-03-25,S001_P0001,441,45.18,40.48,0,0,,41.5,137
2022-03-26,S001_P0001,81,81.93,84.51,20,1,,22.91,128
2022-03-27,S001_P0001,324,78.21,81.17,10,0,,279.09,95
2022-03-28,S001_P0001,393,68.54,65.85,0,0,,61.96,57
2022-03-29,S001_P0001,110,65.91,63.5,5,0,,-1.27,65
2022-03-30,S001_P0001,339,32.07,35.44,0,0,,154.62,191
2022-03-31,S001_P0001,358,63.02,61.79,0,0,,91.85,151
2022-04-01,S001_P0001,215,44.62,43.36,0,1,,102.74,65
2022-04-02,S001_P0001,200,81.11,85.3,15,1,,74.21,54
2022-04-03,S001_P0001,208,51.04,51.16,15,0,,42.34,142
2022-04-04,S001_P0001,70,70.04,74.56,10,1,,60.25,197
2022-04-05,S001_P0001,309,90.24,94.06,10,0,,176.64,105
2022-04-06,S001_P0001,322,23.65,20.38,10,0,,174.98,29
2022-04-07,S001_P0001,84,67.82,62.89,0,1,,30.94,134
2022-04-08,S001_P0001,322,27.4,24.46,15,0,,148.95,173
2022-04-09,S001_P0001,435,69.13,65.28,15,1,,113.81,60
2022-04-10,S001_P0001,292,96.48,92.65,5,0,,301.68,200
2022-04-11,S001_P0001,376,46.43,50.45,0,1,,367.23,192
2022-04-12,S001_P0001,381,74.25,78.42,15,0,,237.67,139
2022-04-13,S001_P0001,433,78.35,76.87,10,1,,293.17,79
2022-04-14,S001_P0001,241,83.64,79.51,20,0,,110.02,126
2022-04-15,S001_P0001,136,95.63,90.95,10,1,,24.81,165
2022-04-16,S001_P0001,445,74.81,78.85,10,0,,176.76,43
2022-04-17,S001_P0001,396,68.35,71.54,5,0,,363.52,109
2022-04-18,S001_P0001,319,53.83,50.51,20,0,,37.98,185
2022-04-19,S001_P0001,60,66.6,62.37,15,1,,38.56,195
2022-04-20,S001_P0001,164,14.9,13.27,20,1,,46.97,131
2022-04-21,S001_P0001,320,84.81,87.15,0,1,,109.15,27
2022-04-22,S001_P0001,407,93.83,97.11,15,0,,410.98,68
2022-04-23,S001_P0001,291,36.5,41.26,15,1,,208.81,97
2022-04-24,S001_P0001,81,20.46,23.22,15,1,,33.2,59
2022-04-25,S001_P0001,52,71.32,73.35,5,1,,48.53,32
2022-04-26,S001_P0001,489,29.14,29.25,10,0,,442.38,98
2022-04-27,S001_P0001,422,43.71,44.73,15,0,,298.22,52
2022-04-28,S001_P0001,348,47.06,49.09,10,1,,329.4,167
2022-04-29,S001_P0001,319,34.81,38.71,0,1,,31.1,121
2022-04-30,S001_P0001,162,20.41,23.49,20,0,,143.4,71
2022-05-01,S001_P0001,125,36.91,37.85,10,0,,-8.04,117
2022-05-02,S001_P0001,193,37.57,37.35,0,1,,-1.99,71
2022-05-03,S001_P0001,231,47.42,50.88,20,1,,32.61,92
2022-05-04,S001_P0001,383,30.44,25.63,20,0,,126.03,131
2022-05-05,S001_P0001,252,21.29,23.42,20,0,,45.42,172
2022-05-06,S001_P0001,253,87.62,89.03,10,1,,40.4,79
2022-05-07,S001_P0001,334,65.44,69.95,20,1,,44.63,150
2022-05-08,S001_P0001,103,30.86,35.02,5,0,,13.1,120
2022-05-09,S001_P0001,195,55.13,52.38,15,0,,184.02,94
2022-05-10,S001_P0001,118,60.66,55.68,15,0,,25.79,138
2022-05-11,S001_P0001,185,23.93,25.74,10,1,,16.37,142
2022-05-12,S001_P0001,426,94.22,95.15,0,0,,2.78,25
2022-05-13,S001_P0001,496,14.24,12.13,5,0,,353.82,36
2022-05-14,S001_P0001,470,61.31,61.59,10,0,,224.85,137
2022-05-15,S001_P0001,392,39.12,43.33,5,1,,216.51,189
2022-05-16,S001_P0001,179,97.06,97.63,15,1,,112.72,32
2022-05-17,S001_P0001,264,82.48,80.01,15,0,,201.31,192
2022-05-18,S001_P0001,373,22.09,19.85,20,1,,146.02,22
2022-05-19,S001_P0001,81,34.33,32.74,10,0,,24.29,117
2022-05-20,S001_P0001,340,85.99,90.45,15,0,,83.43,71
2022-05-21,S001_P0001,494,75.6,76.8,0,1,,323.92,20
2022-05-22,S001_P0001,175,73.44,68.48,5,0,,62.81,196
2022-05-23,S001_P0001,114,19.09,23.61,5,0,,67.77,46
2022-05-24,S001_P0001,459,15.58,11.36,10,1,,181.74,132
2022-05-25,S001_P0001,78,45.81,43.73,10,0,,76.27,113
2022-05-26,S001_P0001,211,14.76,14.03,5,1,,207.14,114
2022-05-27,S001_P0001,94,19.35,24.18,5,1,,40.77,190
2022-05-28,S001_P0001,434,47.5,45.41,20,0,,409.98,192
2022-05-29,S001_P0001,94,68.32,72.05,0,0,,21.8,20
2022-05-30,S001_P0001,372,15.94,16.59,0,1,,309.22,75
2022-05-31,S001_P0001,111,52.95,50.25,10,1,,117.21,166
2022-06-01,S001_P0001,461,11.52,8.27,15,1,,192.58,119
2022-06-02,S001_P0001,386,98.99,96.79,10,1,,388.15,144
2022-06-03,S001_P0001,53,54.62,58.21,10,0,,43.58,147
2022-06-04,S001_P0001,72,67.67,66.42,20,0,,53.64,71
2022-06-05,S001_P0001,265,84.43,80.65,15,0,,161.11,57
2022-06-06,S001_P0001,219,94.24,96.41,15,0,,119.18,107
2022-06-07,S001_P0001,256,92.79,97.71,5,0,,227.01,25
2022-06-08,S001_P0001,209,98.92,103.21,10,0,,103.1,93
2022-06-09,S001_P0001,403,15.22,17.12,10,0,,264.28,85
2022-06-10,S001_P0001,163,51.57,55.42,5,0,,170.85,152
2022-06-11,S001_P0001,374,13.91,10.4,5,0,,253.13,25
2022-06-12,S001_P0001,469,37.8,35.55,15,1,,322.64,132
2022-06-13,S001_P0001,91,55.8,58.37,20,0,,74.6,193
2022-06-14,S001_P0001,133,35.77,32.59,5,1,,121.46,121
2022-06-15,S001_P0001,124,91.53,90.63,15,0,,101.53,52
2022-06-16,S001_P0001,290,59.27,61.2,20,1,,257.66,158
2022-06-17,S001_P0001,289,75.73,78.27,15,0,,59.75,41
2022-06-18,S001_P0001,390,25.77,23.18,15,1,,39.96,68
2022-06-19,S001_P0001,478,90.94,86.82,0,0,,255.2,183
2022-06-20,S001_P0001,338,86.86,90.39,10,0,,208.89,175
2022-06-21,S001_P0001,403,79.86,76.93,0,1,,182.13,137
